,Timestamp,Site ID,Date and Time,Flow Condition,NOTES,Site Photo or Video?,Height above (+) or below (-) v-notch in cm,"Flow Measurement, Time in Seconds ","Flow Measurement, Volume in mL"
88,2020-05-12 13:26:32,SDG-084,2020-05-12 13:25:00,Flowing,Debris removed then level taken,https://drive.google.com/open?id=1RdHuQzh29tNQw235m56IdfrbEwk3o0z2,5.25,4.9,3600
89,2020-05-12 13:31:28,SDG-084,2020-05-12 13:30:00,Flowing,None,,5.0,3.94,2910
90,2020-05-12 13:35:13,SDG-084,2020-05-12 13:35:00,Flowing,None,,4.8,4.59,3300
91,2020-05-12 14:04:53,SDG-085,2020-05-12 14:00:00,Flowing,None,https://drive.google.com/open?id=1PUTgtN5QS_3UGr4-LseUXFbUEFrjtV-5,5.25,4.4,4850
92,2020-05-12 14:57:33,SDG-072A,2020-05-12 14:55:00,Flowing,None,https://drive.google.com/open?id=1j3L70yRRQks_rJ5ORSsPC4ZJoRu7SES2,1.0,60.0,140
93,2020-05-12 15:00:15,SDG-072A,2020-05-12 15:00:00,Flowing,None,,1.0,60.0,130
94,2020-05-12 15:03:39,SDG-072A,2020-05-12 15:00:00,Flowing,None,,1.0,60.0,120
95,2020-05-12 15:16:48,SDG-072,2020-05-12 15:15:00,Flowing,None,https://drive.google.com/open?id=1rlGYGIpZobMA5S_SVlpemQSQ5cu06Sek,1.6,33.33,1390
96,2020-05-12 15:19:03,SDG-072,2020-05-12 15:15:00,Flowing,None,,1.6,43.28,1780
97,2020-05-12 15:21:35,SDG-072,2020-05-12 15:20:00,Flowing,None,,1.6,48.97,2035
98,2020-05-13 10:36:33,SLR-095,2020-05-13 10:35:00,Flowing,New probe. Water submerged connection in box on previous one,,3.9,5.8,2600
99,2020-05-13 10:38:46,SLR-095,2020-05-13 10:40:00,Flowing,2nd meas,,3.9,6.0,2630
100,2020-05-13 10:41:15,SLR-095,2020-05-13 10:45:00,Flowing,Third,,3.9,6.4,2820
101,2020-05-13 11:35:41,SDG-085M,2020-05-13 11:35:00,Flowing,Water coming up from holes in floor of pipe,,3.0,17.0,3860
102,2020-05-13 11:40:06,SDG-085M,2020-05-13 11:40:00,Flowing,2nd,,3.0,14.0,3220
103,2020-05-13 13:09:53,CAR-072,2020-05-13 13:05:00,Flowing,Data from 5/10 to 5/12 was misrecorded at 5/17,https://drive.google.com/open?id=1vTtikuHVyCl0qFu7vyG22hnsrWIQR-O9,2.0,46.0,3980
104,2020-05-13 13:14:04,CAR-072,2020-05-13 13:10:00,Flowing,2nd,,2.0,42.5,3720
105,2020-05-13 13:17:58,CAR-072,2020-05-13 13:15:00,Flowing,3rd,,2.0,38.0,3330
106,2020-05-13 13:59:53,SDG-072,2020-05-12 15:20:00,Flowing,None,,1.6,48.97,2035
107,2020-05-13 14:02:34,CAR-072R,2020-05-13 14:00:00,Flowing,None,,1.3,60.0,650
108,2020-05-13 14:05:00,CAR-072R,2020-05-13 14:00:00,Flowing,None,,1.3,60.0,820
109,2020-05-13 14:07:39,CAR-072R,2020-05-13 14:05:00,Flowing,None,,1.1,60.0,820
110,2020-05-13 14:26:24,CAR-072Q,2020-05-13 14:25:00,Flowing,Leaf debris and sand bag in curb inlet,https://drive.google.com/open?id=16q0FcB3MsyxWYw2monIxdGX4qtmRNvA9,1.0,60.0,520
111,2020-05-13 14:29:30,CAR-072Q,2020-05-13 14:30:00,Flowing,2nd,,1.0,60.0,260
112,2020-05-13 14:36:05,CAR-072Q,2020-05-13 14:35:00,Flowing,3rd,,1.2,60.0,530
113,2020-05-13 14:49:55,CAR-072O,2020-05-13 14:50:00,Ponded,None,,0.0,60.0,0
114,2020-05-13 15:34:00,CAR-070,2020-05-13 15:30:00,Flowing,None,https://drive.google.com/open?id=199nqm7ZwRfXBsZLYo6ONIT2CadZVirYF,2.5,13.2,2100
115,2020-05-13 15:36:50,CAR-070,2020-05-13 15:35:00,Flowing,2nd,,2.5,18.1,2770
116,2020-05-13 15:39:30,CAR-070,2020-05-13 15:40:00,Flowing,3rd,,2.5,19.3,2950
117,2020-05-13 15:50:42,CAR-070E,2020-05-13 15:55:00,Flowing,Leaf in weir,https://drive.google.com/open?id=1eKEnS0DAbMTodhchZldujtFyy3kiBpVP,3.0,4.6,1080
118,2020-05-13 15:53:17,CAR-070E,2020-05-13 15:55:00,Flowing,2nd,,2.7,8.6,1280
119,2020-05-13 15:55:38,CAR-070E,2020-05-13 15:55:00,Flowing,3rd still decreasing after removing leaves,,2.5,10.6,1180
120,2020-05-14 08:14:44,SDR-127B,2020-05-13 12:52:00,Flowing,no leaks looks good,,2.0,30.0,2600
121,2020-05-14 08:17:11,SDR-127,2020-05-13 13:10:00,Flowing,no leaks looked good,,,15.0,2200
122,2020-05-14 08:18:44,SWT-030I,2020-05-13 14:52:00,Ponded,level zero,,0.0,60.0,0
123,2020-05-14 08:20:36,SWT-030,2020-05-13 14:56:00,Flowing,no leaks looks good,,4.0,7.1,4000
124,2020-05-14 08:21:55,SWT-068,2020-05-13 15:16:00,Flowing,no leaks looks good,,6.6,2.68,5000
125,2020-05-14 20:51:51,CAR-072C,2020-05-13 13:25:00,Obstructed,leaves in weir. vee was about 5-6cm before we removed. 5 cm in v right when removed,,5.0,0.0,0
126,2020-05-14 20:52:32,CAR-072C,2020-05-13 13:35:00,Flowing,taken after obstruction was removed and pond settled out,,2.2,30.4,2750
127,2020-05-14 20:53:13,CAR-072C,2020-05-13 13:35:00,Flowing,2nd meas taken after obstruction removed,,2.0,23.4,2020
128,2020-05-14 20:53:46,CAR-072C,2020-05-13 13:40:00,Flowing,3rd meas after obstruction removed,,2.0,36.0,3095
129,2020-05-15 10:41:37,SDR-064,2020-05-14 09:09:00,Ponded,water seeping in to sand,https://drive.google.com/open?id=1J6I0_DAyBLRetLTZe6W7RDNo7IlTqAg5,-3.0,60.0,0
130,2020-05-15 10:44:19,SDR-064A,2020-05-14 09:20:00,Flowing,trickle flow,,0.3,60.0,180
131,2020-05-15 10:46:00,SDR-064B,2020-05-14 09:20:00,Ponded,zero at v,,0.0,60.0,0
132,2020-05-15 10:48:30,SDR-064D,2020-05-14 09:23:00,Flowing,light flow,,0.8,60.0,890
133,2020-05-15 10:52:27,SDR-064C,2020-05-14 09:45:00,Ponded,leaking through concrete,https://drive.google.com/open?id=1chGHuerm8cFNaQguaYJWu2fZSGSvKrsl,-6.8,60.0,0
134,2020-05-15 10:53:57,SDR-098,2020-05-14 10:10:00,Ponded,no flow,,0.0,60.0,0
135,2020-05-15 10:56:01,SDR-041,2020-05-14 10:17:00,Flowing,flowing,https://drive.google.com/open?id=1PnlUVd86To0qcE-3FBlxV-DoGAb-LNhZ,3.7,20.7,9000
136,2020-05-15 10:58:23,SDR-130,2020-05-14 10:33:00,Ponded,"looks like no flow in some time, check data for peaks to establish if there is a leak",https://drive.google.com/open?id=1EDqpsATI82qIbUTDZexvmQuVPzs2Hfpg,-11.0,60.0,0
137,2020-05-15 11:00:21,SDR-036,2020-05-14 10:42:00,Flowing,flowing no issues,https://drive.google.com/open?id=1QINLhz3i7xB73KObrRzPzMaGOSntAXaH,2.7,13.14,3000
